index	premise	hypothesis	label	originated_idx
405	A group of dogs fighting over a dead body.	Two dogs fighting over a piece of fabric	2	6060|6059
406	A man orders a beer and relaxes.	A man is getting gas for his car while he talks on his cellphone.	2	7205|7204
407	The basketball player is stretching on the sidelines.	A basketball player is playing basketball.	2	4672|4674
408	A man is sitting watching TV.	A man is cooking something to eat.	2	752|751
409	The couple is naked.	A couple is wearing bright outfits.	2	7415|7414
410	The puppies are setting on the couch.	Six dogs are outdoors.	2	185|184
411	The two people re sitting inside.	The to people are walking.	2	3481|3482
412	Two shabbily dressed women hold mics as they compete in a rap battle in front of a cheering crowd.	One woman speaking into a microphone while a second woman writes beside her.	2	4286|4288
413	The man is buying groceries.	A man is dancing.	2	9114|9116
414	a woman is inside at the movies	a person is outside	2	8970|8971
415	A boy is pushing the scooter.	A girl is pushing a scooter.	2	2112|2114
416	The man is scuba diving.	The man is holding a drink.	2	6200|6199
417	Two girls play dress up indoors.	Girls are playing outdoors.	2	60|59
418	A red bus backing up into a spot	A red bus making a turn	2	8521|8523
419	A young woman is sitting on a toilet.	A young lady is sitting at a table.	2	1513|1514
420	Two dogs sitting on the porch.	Two dogs standing together in the yard.	2	921|923
421	5 girls wakeboarding	A group of kids reading	2	5786|5785
422	A dog is riding in the car.	There is a dog outside.	2	8121|8123
423	The cyclist was riding in the morning.	The cyclist was riding near the ocean at sunset.	2	1612|1610
424	A man throwing a stretcher.	A man on a stretcher.	2	6702|6703
425	The lady is asleep	A lady cooks	2	1316|1317
426	A woman is performing a speech for her workers.	A man is performing a trick on a bike.	2	5324|5323
427	A woman not paying attention to the camera	A woman looking at the camera.	2	6554|6553
428	Two wrestlers are eating dinner at a local diner.	Wrestlers are participating in a match.	2	8454|8456
429	A woman is jogging down a road.	A man is biking down a path.	2	9025|9024
430	The man is driving down the street.	The man is standing on a truck.	2	7510|7512
431	Two women are staring at a mountain and neither has any headphones or jackets.	The jackets being worn are red.	2	5416|5414
432	A woman stands holding her baby and crying.	A woman with wood in her hand is standing with a smile on her face.	2	5609|5608
433	The boy is sitting on the school bus on his way home.	A boy is on a playground.	2	49|47
434	A man is sitting on a parked motorcycle waiting for his friend.	A man is riding a motorcycle.	2	134|133
435	The person is wearing a green shirt.	A person wears a red shirt.	2	208|206
436	A man bakes a cake.	A man in a blue shirt stands by a grill.	2	7907|7906
437	A guy is in a hot, sunny place	A guy is doing snowboard tricks	2	7366|7365
438	A bald black man is painting on a canvas with paint on a pick and hammer.	A black man with no hair is making a scultpure with a pick and a hammer.	2	4593|4594
439	Two dogs are walking throught a gate.	People are walking through a gate.	2	3621|3623
440	The dog is laying down on the bed.	The dog is jumping over pillows.	2	5377|5376
441	The dog is going to catch a baseball.	The dog is going to catch a frisbee.	2	5388|5387
442	The boy is dead	A boy is outside	2	8162|8160
443	The couple is standing next to a cake.	The couple is sitting near water.	2	3157|3158
444	An Asian man walks his dog on a rainy afternoon.	An Asian man transports a group of bags.	2	1815|1814
445	The men are playing field hockey.	The men are playing soccer.	2	8570|8571
446	A woman is walking in park	A woman in restaurant	2	9794|9796
447	A couple is eating inside at a table and he is pointing at something.	People are eating at a table outside.	2	153|155
448	They are in a boat.	Six or seven people are standing on a pier.	2	205|204
449	The pets sit inside.	A dog stands in the water.	2	7394|7392
450	Six people are naked.	Six people are dressed up.	2	3875|3874
451	The old people are sleeping in the living room.	A group of old people are outdoors playing music.	2	2431|2430
452	Everybody is sitting	A person is walking	2	3323|3322
453	a man alone at home	a man alone in the park	2	2167|2168
454	People are surfing.	People are biking outdoors.	2	6775|6774
455	A news crew's van has broken down, so they decide to stay home.	There are people outdoors.	2	7034|7032
456	Five people jumped the bridge.	A group of people including a man and a woman are playing instruments on a double-decker red Planet Hollywood sightseeing bus.	2	4546|4544
457	The man is riding a horse.	The man is bike riding.	2	903|904
458	The men are sitting in silence.	Two men are talking.	2	6307|6308
459	A woman is posing on a ski board with lava in the background.	A man is posing.	2	4244|4245
460	Two people are crying.	Two people are happy.	2	7292|7291
461	Boys are playing outside.	Children are indoors.	2	1574|1575
462	A man is yelling at his wife.	A happy woman.	2	9094|9092
463	The young boy is standing inside.	The boy is standing near a water fountain.	2	2531|2532
464	Two dogs sleep on the floor.	Two dogs play.	2	7419|7420
465	The man is climbing a mountain.	The man is inside.	2	35|33
466	A child doing homework.	A child on a beach.	2	6222|6221
467	A man is wearing nothing.	A man is wearing something.	2	577|576
468	The man is living in a mansion.	The man does not have a home.	2	1534|1533
469	The surfer is skateboarding.	The surfer is surfing.	2	5493|5492
470	A man in a blue hat drops the ball.	A gentleman wearing an orange hat has a ball.	2	8089|8090
471	There is no snow.	A child is playing in the snow.	2	8357|8358
472	Two people eat Chinese at a Chinese buffet.	Two people cook together.	2	4282|4280
473	A boy is going on a jog in a park.	A girl in gray smiles as she brushes her teeth.	2	6594|6593
474	Two small children are sitting down, eating ice cream.	Two small children walk outdoors.	2	2174|2175
475	A man yawns and stretches, tired from a day of work.	A man skates outside.	2	2460|2459
476	The crazy cat lady is scooping the litter box.	A woman is playing with her dog.	2	9191|9192
477	The group of adults are crying hysterially.	The group of adults is happy.	2	2236|2237
478	The person is swimming.	A person is walking.	2	4056|4057
479	A man and woman eating vegetables.	Some dough being cut by a man and woman.	2	6456|6455
480	A black man is sitting on a couch at his house.	A black man is standing on stage.	2	4248|4250
481	A woman wearing a snowsuit is skiing.	A topless man is working outside.	2	4486|4488
482	People are sleeping.	People are trying to warm up.	2	6476|6475
483	A girl is washing a load of laundry.	A girl is playing an instrument.	2	95|96
484	Two women are having coffee.	Two men are in the living room.	2	5412|5413
485	A child yells angrily at her mother.	A child laughs as her hair sticks up.	2	8193|8194
486	A dog and cat are drowning in the pool/	Two animals are swimming.	2	4121|4120
487	Two men not working on the roof of an apartment building	Two men working on the roof of an apartment building	2	9042|9041
488	A man is all alone looking at postcards.	A man with a boy and their white dog are looking at postcards.	2	4962|4963
489	A naked man walking.	A man wearing a coat.	2	6580|6582
490	Two girls are sunbathing on the beach.	Teenagers are hiking in the cold.	2	5439|5440
491	The child is drinking at a bar.	The child is playing.	2	8343|8345
492	A young boy is playing in the grass.	There is a boy in the water.	2	8353|8352
493	A woman giving her dog a bath	A woman walking a dog	2	4911|4912
494	old lady sitting on a chair.	girl plays swing	2	6490|6491
495	The woman is naked	The girl has clothes on	2	9535|9537
496	The men are playing basketball.	Girls are playing basketball.	2	3028|3027
497	An Asian man is dancing.	AN Asian woman is dancing.	2	2764|2762
498	The man has no vocal cords.	The man knows how to play the guitar.	2	9573|9575
499	People sit on a couch.	People rock climb with rope.	2	4707|4706
500	Nobody has a shirt on	A person in a shirt	2	6908|6907
501	A man rolls on the ground on fire.	A man holds a football.	2	8231|8230
502	Four men and a young boy are at the lake swimming.	Five total people are near a table with objects on it.	2	2402|2404
503	The women are not talking to each other.	The women are speaking to each other.	2	6871|6872
504	The man is sitting there watching tv	There is someone sleeping on the couch.	2	7093|7091
505	Older men playing shuffle	Older men sitting at a cafe	2	4321|4320
506	a man sleep	a man polishes a floor next to a can	2	9219|9217
507	The boy is swinging a golf club.	The boy is swinging a bat.	2	3286|3285
508	The man is inside the restaurant in a booth.	A man is outside.	2	5175|5173
509	The chefs are making food for themselves.	Chefs are making food for customers.	2	4589|4590
510	People are screaming at a boxing match.	People are talking underneath a covering.	2	94|93
511	Two children are wearing bright bathing suits at the ocean.	A couple of children are wearing pajamas.	2	7253|7251
512	A brunette woman sits on a sofa.	A blonde woman sits on a bench outside in a park.	2	4640|4639
513	The firefighters are setting a fire.	The firefighters have finished a job.	2	1232|1233
514	The ballerina is outdoors.	The ballerina is indoors.	2	3838|3839
515	Men taking pictures of women at the beach.	Women taking pictures of each other.	2	1712|1714
516	A lady is climbing a rope.	A lady in the kitchen cleans her feet.	2	3886|3887
517	The child is on a sled.	A kid is on the swing.	2	8585|8584
518	The happy pilot flies his plane.	There is a man on a boat.	2	7732|7730
519	Nobody has a shirt	A person in a shirt	2	6732|6733
520	A man sips beer on the beach	A man leaning on a tree	2	1462|1463
521	the man is not talking	a man gives presentation	2	3390|3388
522	The man is underwater looking for fish.	A man can see mountains from where he stands.	2	7989|7990
523	The man has nothing on his face.	The man has his face painted.	2	1541|1542
524	Nobody has a trumpet	A human with a trumpet	2	2200|2201
525	Two men are watchin TV inside	Two mean are wearing clothes and walking	2	5567|5566
526	Various dogs sleeping in a house.	Some animals outdoors.	2	9008|9009
527	A lady with her eyes closed playing an old fluglehorn into a microphone.	A man plays an instruement with his eyes closed	2	7096|7097
528	A man in a dress has a bag of wooden toys.	A lady in a dress has a container of yarn toys.	2	4515|4516
